Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Observaciones,nif_licitador,valor_estimado_licitacion,nombre_poder_adjudicador,nif_adjudicador,nombre_adjudicatario,nif_adjudicatario,valor_oferta_adjudicada,verificacion_organismo,Enlace HTML
"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES","Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones",202303JC0323.,03/01/2025,Contratación,Servicio de limpieza de apoyo en las tareas de limpieza y apoyo al servicio de comedor para el Centro de Acogida a Refugiados (CAR) de Sevilla para un periodo de 12 meses prorrogables por 36 meses mas.,Abierto,Andalucía,"55000000 Servicios comerciales al por menor de hostelería y restauración 90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,No disponible,No disponible,"Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones.",S2801449F.,"SERVICIOS OSGA, S.L.",B26384560.,"331.252,82 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-142
"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES","Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones",202303JC0345.,03/01/2025,Contratación,Servicio de inmersión lingüística -clases de español- para el Centro de Acogida a Refugiados (CAR) de Sevilla para un periodo de 12 meses prorrogables por 36 meses más.,No disponible,Andalucía,80000000 Servicios de enseñanza y formación,No disponible,No disponible,No disponible,"Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones.",S2801449F.,Integra Educatio Desarrollo Holístico. S.L.,B90407180.,"95.436,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-143
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",SEC20240067.,04/01/2025,Contratación,"Servicio de señal audiovisual HD a satélite, transmisión por videostreaming y servicios relacionados en comparecencias públicas en territorio español.",Abierto,Comunidad de Madrid,64000000 Servicios de correos y telecomunicaciones,No disponible,No disponible,No disponible,"Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes.",S2811001C.,"SERVICIOS AUDIOVISUALES OVERON, S.L.",B63879902.,"758.389,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-222
MINISTERIO DE DEFENSA,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,2024/AR40U/00001584E.,04/01/2025,Contratación,Dirección facultativa para el proyecto de ejecución del edificio para las Dotaciones de los submarinos S-80.,Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada.,S2815004C.,SECURAMA CONSULTORIA DE SEGURIDAD EN OBRAS SL.,B73496200.,"183.683,28 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-223
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00002311.,04/01/2025,Contratación,"EA0414 Servicios de mantenimiento del equipamiento de comunicaciones de las redes de propósito general, sistemas específicos y videoconferencias del Ejército del Aire y del Espacio.",Abierto,Comunidad de Madrid,50300000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire.,S2830149G.,"ECONOCOM SERVICIOS, S.A.",A28816379.,"251.191,73 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-224
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00004376.,04/01/2025,Licitación,Acuerdo Marco de enseñanza de idiomas.,Abierto,Comunidad de Madrid,80000000 Servicios de enseñanza y formación,Varios lotes. Acuerdo Marco.,S2830149G.,No disponible,No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-225
MINISTERIO DE DEFENSA,Intendente de Rota,2024/AR46U/00000891E.,04/01/2025,Contratación,"Nueva instalación para almacenamiento y distribución de combustible GAS-OIL F-76. Base Naval de Rota, Cádiz.",Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Intendente de Rota.,S2800147G.,"ARGENIA INGENIERIA Y ARQUITECTURA S,L.",B91657692.,"634.720,16 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-226
MINISTERIO DE DEFENSA,Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,2024/EA02/00001695E.,04/01/2025,Licitación,20257001 Mantenimiento de instalaciones fijas de protección contra incendios.,Abierto,Nacional,50400000 Servicios de reparación y mantenimiento,Varios lotes.,S2830189C.,"5.355.371,90 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-227
MINISTERIO DE DEFENSA,Intendente de Rota,2024/AR46U/00001225E.,04/01/2025,Contratación,Obras de ejecución del nuevo edificio de simuladores de misión del NH-90 en la Base Naval de Rota.,Abierto,Andalucía,45000000 Trabajos de construcción,No disponible,No disponible,No disponible,Intendente de Rota.,S2800147G.,"ZIMA DESARROLLOS INTEGRALES, S.L.",B73544819.,"4.354.519,09 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-228
MINISTERIO DE DEFENSA,Intendencia de Madrid,2024/AR21U/00002821E.,04/01/2025,Contratación,(TA) Asistencia Técnica MBDA España.,Negociado sin publicidad,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Intendencia de Madrid.,S2815001I.,"MBDA ESPAÑA, S.L.",B86093689.,"18.788,43 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-229
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Sur,2024/ETSAE0226/00009214E.,04/01/2025,Contratación,"Suministro de material por lotes para el Centro de Operaciones de Artillería de Costa del RACTA 4 Tarifa, Cádiz.",Abierto,Andalucía,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación 44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos)",Lote 1.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Sur.,S4130025B.,SUMINISTROS SANTO DOMINGO SL.,B06215057.,"15.661,62 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-230
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Sur,2024/ETSAE0226/00009214E.,04/01/2025,Contratación,"Suministro de material por lotes para el Centro de Operaciones de Artillería de Costa del RACTA 4 Tarifa, Cádiz.",Abierto,Andalucía,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación 44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos)",Lote 3.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Sur.,S4130025B.,"SUMINISTROS INDUSTRIALES SHERRY SUR, S.L.",B11916418.,"11.200,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-231
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Sur,2024/ETSAE0226/00009214E.,04/01/2025,Contratación,"Suministro de material por lotes para el Centro de Operaciones de Artillería de Costa del RACTA 4 Tarifa, Cádiz.",Abierto,Andalucía,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación 44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos)",Lote 2.,No disponible,No disponible,Jefatura de Intendencia de Asuntos Económicos Sur.,S4130025B.,SUMINISTROS SANTO DOMINGO SL.,B06215057.,"1.608,01 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-232
MINISTERIO DE HACIENDA,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria,24710056800.,04/01/2025,Contratación,Suministro botas para el personal terrestre y marítimo de Vigilancia Aduanera del Departamento de Aduanas e II.EE.,Abierto,Nacional,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",Lote 1.,No disponible,No disponible,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria.,Q2826000H.,"FAL CALZADOS DE SEGURIDAD, S.A.",A26268508.,"26.205,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-233
MINISTERIO DE HACIENDA,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria,24710056800.,04/01/2025,Contratación,Suministro botas para el personal terrestre y marítimo de Vigilancia Aduanera del Departamento de Aduanas e II.EE.,Abierto,Nacional,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",Lote 2.,No disponible,No disponible,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria.,Q2826000H.,"FAL CALZADOS DE SEGURIDAD, S.A.",A26268508.,"28.056,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-234
MINISTERIO DE HACIENDA,Dirección General de la Agencia Estatal de Administración Tributaria,24710051900.,04/01/2025,Contratación,"Servicio de Operación Técnica de Vuelo, Mantenimiento y Administración de la flota de helicópteros propiedad de la AEAT.",Abierto,Nacional,60000000 Servicios de transporte (excluido el transporte de residuos),No disponible,No disponible,No disponible,Dirección General de la Agencia Estatal de Administración Tributaria.,Q2826000H.,UTE ELIANCE HELICOPTER Y ELIANCE SERVICE (DOS) .,No disponible,"8.539.984,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-235
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Tributaria en Castilla y León,24A80110300.,04/01/2025,Licitación,Limpieza en Delegaciones y Administraciones del ámbito de la AEAT en Castilla y León: Valladolid.,Abierto,Castilla y León,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,Q2826000H.,"633.820,16 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-236
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Tributaria en Illes Balears,24A40081300.,04/01/2025,Contratación,Verificación anual de los Pararrayos instalados en tres edificios de la Delegación Especial de la A.E.A.T. de Illes Balears.,Abierto,Illes Balears,"50700000 Servicios de reparación y mantenimiento 71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,No disponible,No disponible,Delegación Especial de la Agencia Tributaria en Illes Balears.,Q2826000H.,"QUIBAC, SL.",B08325482.,"564,14 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-237
MINISTERIO DE HACIENDA,Gerencia del Consorcio de la Ciudad de Santiago,1335525X.,04/01/2025,Licitación,suministro e instalación de equipamientos para la cocina y la cafetería del Palacio de Congresos y Exposiciones de Galicia en Santiago de Compostela.,Abierto,Galicia,"39000000 Mobiliario (incluido el de oficina), complementos de mobiliario, aparatos electrodomésticos (excluida la iluminación) y productos de limpieza 45000000 Trabajos de construcción",Suministro y Obras.,V15392319.,"639.860,66 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-238
MINISTERIO DEL INTERIOR,Dirección General de Tráfico,1DGT2AP00022.,04/01/2025,Contratación,Suministro de equipos de protección individual para el personal de la Dirección General de Tráfico (6 Lotes).,Abierto,Nacional,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",Lotes 1 y 4.,No disponible,No disponible,Dirección General de Tráfico.,Q2816003D.,"Proin Pinilla, S.L.",B50657469.,"65.436,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-239
MINISTERIO DEL INTERIOR,Dirección General de Tráfico,1DGT2B000115.,04/01/2025,Contratación,Suministro de rollos de papel de denuncia para impresoras ZEBRA RW420 del proyecto TRAMO.,Negociado sin publicidad,Nacional,22000000 Impresos y productos relacionados,No disponible,No disponible,No disponible,Dirección General de Tráfico.,Q2816003D.,FORMULARIOS EUROPEOS SA (FESA).,****1096*.,"142.560,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-240
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,B54230946900.,04/01/2025,Contratación,"12-BU-4690; 54.1001/23 Autovía del Duero, A-11. Tramo: Variante de Langa de Duero-Variante de Aranda de Duero. Provincia de Burgos.",Abierto,Castilla y León,45000000 Trabajos de construcción,No disponible,No disponible,No disponible,Dirección General de Carreteras.,S2817015G.,"OBRASCON HUARTE LAIN, S.A. y ASCH INFRAESTRUCTURAS Y SERVICIOS, S.A. en UTE.",No disponible,"149.384.758,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-241
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,B30242814520.,04/01/2025,Licitación,"30.1216/24; 19-M-14520 Mejora de la seguridad vial y del transporte público de la autovía A-5 entres los pp.kk 9,0 y 14,2 y mejora de la funcionalidad del enlace entre las autovías A-5 y M-40 y la autovía A-5R. Provincia de Madrid.",Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,S2817015G.,"4.363.660,45 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-242
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C54241343300.,04/01/2025,Licitación,"39-CR-4330; 54.1061/24 Mejora de la Sostenibilidad mediante la sustitución de vallado perimetral, ejecución de orillas secas y otras medidas de seguridad vial vinculadas a la protección del lince ibérico en el tramo ubicado entre el P.K. 234+000 y el P.K. 245+000 de la autovía A-4. Provincia de Ciudad Real ""LINXCONNECT.",Abierto,Castilla-La Mancha,45000000 Trabajos de construcción,Reforma.,S2817015G.,"1.036.380,55 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-243
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,D30249330611.,04/01/2025,Licitación,30.1233/24; SI-006/24; Consultoría y asistencia técnica para el desarrollo de una herramienta de tecnificación de la gestión de la seguridad viaria en la Red Convencional de la Red de Carreteras del Estado.,Abierto,Nacional,50200000 Servicios de reparación y mantenimiento,No disponible,S2817015G.,"2.571.031,62 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-244
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de la Marina Mercante,202417320162.,04/01/2025,Contratación,"Gestión de servicios de la líneas marítimas de interés público Málaga-Melilla, Almería-Melilla y Motril Melilla.",Abierto,"Andalucía, Ciudad de Melilla",60000000 Servicios de transporte (excluido el transporte de residuos),Lote 2.,No disponible,No disponible,Dirección General de la Marina Mercante.,S2829008H.,COMPAÑIA TRASMEDITERRANEA SA.,A28018075.,"18.000.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-245
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Junta de Contratación del Ministerio de Transportes y Movilidad Sostenible,24IHF2IN0278.,04/01/2025,Licitación,Provisión de servicios de infraestructuras TIC en la nube Amazon Web Service.,Abierto,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,S2800441D.,"2.904.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-246
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF Alta Velocidad - Consejo de Administración,3.24/30830.0261.,04/01/2025,Licitación,"Servicios de consultoría para la redacción de los estudios previos, proyectos básicos y de construcción de la nueva Estación Central de Valencia.",Abierto,Comunidad Valenciana,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",No disponible,Q2802152E.,"30.267.741,94 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-247
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF -Consejo de Administración,3.24/06110.0183.,04/01/2025,Licitación,Ejecución de las obras del proyecto de construcción de la nueva estación de Sant Feliú de Llobregat y del proyecto de construcción de la integración del ferrocarril en Sant Feliú de Llobregat. Instalaciones de protección y seguridad.,Abierto,Cataluña,45000000 Trabajos de construcción,No disponible,Q2801660H.,"26.315.748,20 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-248
MINISTERIO DE CULTURA,Junta de Contratación del Ministerio de Cultura y Deporte,J240014.,04/01/2025,Contratación,Servicio de diseño gráfico de elementos de difusión y de comunicación para la Subdirección General de Museos Estatales.,Abierto,Comunidad de Madrid,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,No disponible,Junta de Contratación del Ministerio de Cultura y Deporte.,S2800239B.,"CONMUNICA MEDIATRADER, S.L.U.",****8125*.,"24.677,90 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-250
MINISTERIO DE CULTURA,Dirección General de la Biblioteca Nacional,MS240088.,04/01/2025,Contratación,"Suministro de materiales de conservación para distintos Departamentos de la Biblioteca Nacional de España (fundas, carpetas, carpetillas, cojines para libros...) .",Abierto,Comunidad de Madrid,"30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",Lote 2.,No disponible,No disponible,Dirección General de la Biblioteca Nacional.,Q2828005E.,"Arte y Memoria, S.L.",B61906236.,"28.848,75 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-251
"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES",Subdirección General de Servicios y Coordinación,202401GE0045.,04/01/2025,Contratación,"Suministro de sobres y papel en formato bobina para los Servicios Centrales del Ministerio de Inclusión, Seguridad Social y Migraciones.",Abierto,Comunidad de Madrid,"30000000 Máquinas, equipo y artículos de oficina y de informática, excepto mobiliario y paquetes de software",No disponible,No disponible,No disponible,Subdirección General de Servicios y Coordinación.,S2801449F.,LINEA PAPEL.,B80796139.,"39.846,44 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-252
"MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES","Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones",202401JC0004.,04/01/2025,Contratación,"Suminstro de gasóleo tipo ""C"" para la calefacción de los Servicios Centrales del Ministerio de Inclusión, Seguridad Social y Migraciones para un periodo de 12 meses prorrogables.",Abierto,Comunidad de Madrid,"09000000 Derivados del petróleo, combustibles, electricidad y otras fuentes de energía",No disponible,No disponible,No disponible,"Junta de Contratación del Ministerio de Inclusión, Seguridad Social y Migraciones.",S2801449F.,PETROCONTINENTAL S.L.,B80406309.,"7,51 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-253
AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS,Agencia Española de Protección de Datos,EX20240083.,04/01/2025,Contratación,Servicios de mantenimiento del equipo de rayos X Rapiscan 615.,Negociado sin publicidad,Nacional,50400000 Servicios de reparación y mantenimiento,No disponible,No disponible,No disponible,Agencia Española de Protección de Datos.,Q2813014D.,PROSELEC SEGURIDAD S.A.U.,A78623048.,"3.319,77 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-254
CORTES GENERALES,Mesa del Congreso de los Diputados,CON-P2024/5200005.0.,08/01/2025,Contratación,Suministro de energía eléctrica y gas natural para los edificios del Congreso de los Diputados.,Abierto,Comunidad de Madrid,"09000000 Derivados del petróleo, combustibles, electricidad y otras fuentes de energía",Varias adjudicaciones.,No disponible,No disponible,Mesa del Congreso de los Diputados.,S2804002J.,"LIQUID NATURAL GAZ, S.L.",B25526732.,"185.162,42 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-355
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",MPR20240256.,08/01/2025,Licitación,Servicio de asistencia sanitaria para el personal destinado en el exterior.,Abierto,Comunidad de Madrid,66000000 Servicios financieros y de seguros,Varios lotes.,S2811001C.,"455.664,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-356
"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES","Junta de Contratación del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes",ASE/2024/068.,08/01/2025,Licitación,"Servicio de manipulación, clasificación, registro y envío de los documentos que se reciben en el Registro del Ministerio de la Presidencia, Justicia y relaciones con las Cortes.",Abierto,Comunidad de Madrid,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,S2811001C.,"575.400,46 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-357
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00001634.,08/01/2025,Contratación,Asistencia técnica para la realización de servicios de consultoría en la oficina técnica de la Jefatura de servicios técnicos y ciberespacio.,Abierto,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",No disponible,No disponible,No disponible,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire.,S2830149G.,"SPHERA DESARROLLO E INNOVACION EN TECNOLOGIAS DE LA INFORMACION, S.A.",A86405305.,"144.539,98 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-358
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004871E.,08/01/2025,Licitación,Adquisición de medalla de campaña.,Abierto,Comunidad de Madrid,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",No disponible,S2800811H.,"190.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-359
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004543E.,08/01/2025,Licitación,Suministro y mantenimiento de hardware / software de Equipos de Diagnosis Multimarca Multisistemas (EDMMS) de dotación en el Ejército de Tierra.,Abierto,Comunidad de Madrid,48000000 Paquetes de software y sistemas de información,No disponible,S2800811H.,"148.760,33 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-360
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00003602E.,08/01/2025,Licitación,Adquisición de estaciones sanitarias de descontaminación NBQ.,Negociado con publicidad,Comunidad de Madrid,42000000 Maquinaria industrial 44000000 Estructuras y materiales de construcción; productos auxiliares para la construcción (excepto aparatos eléctricos),No disponible,S2800811H.,"5.835.000,00 euros.",No disponible,No disponible,No disponible,No disponible,No disponible,No comprobado,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-361
MINISTERIO DE HACIENDA,"Delegación Especial de la Agencia Tributaria en Andalucía, Ceuta y Melilla",24180070100.,08/01/2025,Contratación,Servicio de limpieza integral de los edificios y centros de la Delegación de la AEAT de Granada.,Abierto,Andalucía,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente 98000000 Otros servicios comunitarios, sociales o personales",No disponible,No disponible,No disponible,"Delegación Especial de la Agencia Tributaria en Andalucía, Ceuta y Melilla.",Q2826000H.,GESTION Y MANTENIMIENTOS ALFERRO SL.,B21558945.,"263.904,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-362
MINISTERIO DE HACIENDA,"Delegación Especial de la Agencia Tributaria en Andalucía, Ceuta y Melilla",24A10067700.,08/01/2025,Contratación,"Limpieza integral de los edificios y centros dependientes de D.E. Andalucía, Ceuta y Melilla (Sede Sevilla) de la AEAT.",Abierto,Andalucía,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente 98000000 Otros servicios comunitarios, sociales o personales",No disponible,No disponible,No disponible,"Delegación Especial de la Agencia Tributaria en Andalucía, Ceuta y Melilla.",Q2826000H.,"LIMCAMAR, S.L.",B30132724.,"746.110,72 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-363
MINISTERIO DE HACIENDA,"Delegación Especial de la Agencia Tributaria en Andalucía, Ceuta y Melilla",24550074400.,08/01/2025,Contratación,Servicio de limpieza integral de los edificios y centros de la Delegación de la AEAT de Ceuta.,Abierto,Ciudad de Ceuta,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente 98000000 Otros servicios comunitarios, sociales o personales",No disponible,No disponible,No disponible,"Delegación Especial de la Agencia Tributaria en Andalucía, Ceuta y Melilla.",Q2826000H.,GESTION Y MANTENIMIENTOS ALFERRO SL.,B21558945.,"70.680,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-364
MINISTERIO DE HACIENDA,Delegación de Economía y Hacienda en Pontevedra,0624POVIGIL.,08/01/2025,Contratación,"Servicio de Vigilancia y Seguridad del edificio de la Delegación de Economía y Hacienda en Pontevedra, calle Andrés Muruais nº 4, Pontevedra.",No disponible,Galicia,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,No disponible,Delegación de Economía y Hacienda en Pontevedra.,S3626011E.,"Servicios SPR Vilanova, SL.",B36597276.,"51.111,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-365
MINISTERIO DE HACIENDA,Delegación de Economía y Hacienda en Pontevedra,0324POLIMP.,08/01/2025,Contratación,"Contratación de los servicios de limpieza, para el periodo de 1 de enero a 31 de diciembre de 2025, en el edificio de la Delegación de Economía y Hacienda, Gerencia Territorial del Catastro, calle Andrés Muruais nº 4, Pontevedra.",Abierto,Galicia,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,No disponible,No disponible,Delegación de Economía y Hacienda en Pontevedra.,S3626011E.,LIMPIEZAS COMPOSTELA S.L.,B15032881.,"58.800,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-366
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Tributaria en Navarra,24B40083400.,08/01/2025,Contratación,Servicio de limpieza de la Delegación Especial de la AEAT en Navarra.,Abierto,Nacional,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",No disponible,No disponible,No disponible,Delegación Especial de la Agencia Tributaria en Navarra.,Q2826000H.,DISTRIVISUAL S.L.,B31452634.,"148.000,00 euros.",OK,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2025-367
